id_thiago,watershed,stream,length,buf_area_m2,avg_slope,Agriculture,Bare.Soil,Forest,Mining,Mixed,Pasture,Planted.Forests,Secondary.Forest,Urban,Water
66,13,13.1,1123,1366751.097,0.205273439,0,0,0.484430344,0,0.02207294,0.36105164,0.131962027,0,0,0
67,13,13.2,1217,1452124.369,0.167611495,0,0,0.745765219,0,0.020870352,0.109060878,0.124323422,0,0,0
68,13,13.3,1307,1503359.692,0.179780293,0,0,0.553045152,0,0.027145245,0.186171423,0.233649235,0,0,0
69,13,13.4,1221,1384807.176,0.140078611,0,0,0.509607857,0,0,0.29922983,0.191162312,0,0,0
70,13,13.5,1274,1493347.547,0.153566342,0,0,0.114508507,0.136863143,0,0.309252925,0.385298834,0,0,0
71,14,14.1,1122,1282126.157,0.214845632,0.195510307,0.02859066,0.443164915,0,0,0.102667371,0.072613783,0.124472423,0.03297508,0
72,14,14.2,1281,1489751.488,0.257405852,0.012247342,0.032818612,0.508258707,0,0,0.014233468,0.161879845,0.251660887,0,0.0188857
73,14,14.3,1151,1404753.611,0.201779689,0.005306109,0,0.299741236,0,0,0.273151762,0.183712346,0.186967486,0.048436606,0.002680185
74,14,14.4,1145,1377118.74,0.216466251,0.042884341,0,0.246142172,0,0,0.102362745,0.092048477,0.355808847,0.160750513,0
75,14,14.5,1343,1526899.887,0.208198244,0.125953924,0,0.416181614,0,0,0.196225736,0.161973471,0.037499364,0.062165236,0
76,15,15.1,1425,1579357.898,0.290390628,0,0,0.718415681,0,0.007822166,0,0.230116489,0,0.020626816,0.023018215
77,15,15.2,1419,1535687.465,0.315731769,0,0,0.905283893,0,0.007238628,0,0.070463042,0,0,0.017014437
78,15,15.3,1076,1340534.528,0.269150146,0,0,0.978458307,0,0,0,0.017625568,0,0,0.003916124
79,15,15.4,1283,1437750.812,0.264762354,0,0,0.968875994,0,0,0.021803262,0.009320744,0,0,0
80,15,15.5,1247,1468837.339,0.27971153,0,0,0.901795528,0,0.004920899,0.142492561,0,0,0,0
81,16,16.1,1122,1374381.687,0.239813236,0.03407559,0,0.645903786,0,0,0.203032295,0,0.11698833,0,0
82,16,16.2,1270,1492667.153,0.130581865,0.052689799,0,0.733413167,0,0,0,0,0.213897035,0,0
83,16,16.3,1119,1384014.227,0.178914468,0,0,0.704708871,0,0.115343667,0.018707865,0.258333974,0,0,0
84,16,16.4,1253,1454978.561,0.20212716,0,0,0.787407967,0,0.110992882,0,0.101599151,0,0,0
85,16,16.5,1203,1411055.993,0.210771346,0,0,0.7395292,0,0.043984004,0.040442761,0.190323569,0.026163227,0,0
86,17,17.1,1240,1482345.23,0.178057933,0,0,0.207311904,0,0,0,0.778483997,0.002439435,0,0
87,17,17.2,1264,1476344.971,0.18156101,0,0,0.415016042,0,0,0,0.584980605,0,0,0
88,17,17.3,1294,1479210.928,0.287955698,0,0,0.570123879,0,0,0,0.401210656,0.028638109,0,0
89,17,17.4,1276,1425736.531,0.241343005,0,0,0.062889405,0,0,0,0.867622021,0.069490613,0,0
90,17,17.5,1130,1382722.339,0.261081572,0,0,0.793467709,0,0,0,0.20656128,0,0,0
91,18,18.1,1034,1261842.473,0.25198387,0,0,0.36967938,0,0,0.189220181,0.230102913,0,0.210998318,0
92,18,18.2,1145,1377395.791,0.248160918,0,0,0.529504189,0,0,0.172302381,0.098443727,0,0.199750429,0
93,18,18.3,1076,1349600.26,0.22424666,0.113807808,0,0.650837008,0,0.003993775,0.235354443,0,0,0,0
94,18,18.4,1276,1451694.611,0.18056335,0,0.009084753,0.403946499,0,0,0.534862654,0.052105405,0,0,0
95,18,18.5,1119,1283702.954,0.225877017,0.149455603,0,0.437549724,0,0.003548329,0.412994674,0,0,0,0
96,19,19.1,1029,1308906.756,0.245352158,0,0,1,0,0,0,0,0,0,0
97,19,19.2,1072,1313269.768,0.372826616,0,0,1,0,0,0,0,0,0,0
98,19,19.3,1201,1418647.574,0.371775276,0,0,1,0,0,0,0,0,0,0
99,19,19.4,1052,1330302.322,0.237039504,0,0,1,0,0,0,0,0,0,0
100,19,19.5,1058,1330597.767,0.29162498,0,0,1,0,0,0,0,0,0,0
4,20,20.1,1072,1337060.614,0.359311566,0,0,0.95058444,0,0,0,0,0,0,0.04941556
5,20,20.2,1126,1384222.798,0.396777468,0,0,0.964246485,0,0,0,0,0,0,0.035752846
3,20,20.3,1134,1359700.116,0.458940543,0,0,0.935685433,0,0,0,0,0,0,0.064313832
2,20,20.4,1147,1388771.401,0.4868081,0,0,0.999995599,0,0,0,0,0,0,4.40E-06
1,20,20.5,1077,1354442.389,0.46707561,0,0,1,0,0,0,0,0,0,0
