catchment	stream	width_m	cover_site	mud	sand	gravel	pebble	cobble	boulders	vel	depth_cm	temp	pH	cond	turb	do_mg	do_porc	salinity	nitro	phos	lat	lon
15	1	1.8	93.33333333	0	15	5	31.66666667	15	33.33333333	0.188888889	10.33333333	19.30333333	7.45	0.059666667	7.033333333	8.906666667	99.43333333	0	0.173333333	17.06	-24.230145	-48.380358
15	2	1.793333333	86.66666667	0	8.333333333	5	46.66666667	26.66666667	13.33333333	0.166666667	7.444444444	17.08333333	6.91	0.022	1.6	9.24	98.8	0	0.156666667	14.40666667	-24.230428	-48.382597
15	3	1.236666667	50	0	15	10	71.66666667	3.333333333	0	0.133333333	23.88888889	17.50333333	6.463333333	0.031	3.433333333	8.313333333	89.6	0	0.116666667	7.483333333	-24.227263	-48.389879
15	4	1.776666667	78.33333333	4.444444444	0	3.333333333	53.33333333	30	0	0.177777778	10.88888889	17.74333333	6.853333333	0.055	0	15.91333333	172.3333333	0	0.143333333	15.40666667	-24.222781	-48.355082
15	5	3.266666667	33.33333333	0	10	1.666666667	28.33333333	53.33333333	6.666666667	0.133333333	9.666666667	17.61666667	6.356666667	0.026	31.6	9.17	99.06666667	0	0.116666667	5.173333333	-24.200708	-48.370197
16	1	1.483333333	70	0	34.33333333	7.333333333	10	31.66666667	16.66666667	0.133333333	7.777777778	18.27333333	6.776666667	0.082	6.833333333	9.983333333	109.3	0	0.103333333	10.56	-24.342187	-48.65784
16	2	3.283333333	81	0	35	10	55	0	0	0.144444444	24	18.48333333	6.996666667	0.09	0	9.253333333	101.7	0	0.116666667	10.45	-24.3392549	-48.67378058
16	3	1.653333333	71.66666667	0	4	6	85	5	0	0.233333333	6.777777778	19.93333333	7.44	0.121666667	3.166666667	8.58	96.86666667	0.01	0.123333333	18.22666667	-24.302248	-48.648273
16	4	1.516666667	86.66666667	10.55555556	0	1.666666667	51.66666667	1.666666667	13.33333333	0.288888889	11.11111111	18.66	7.373333333	0.113	0	8.68	95.76666667	0.01	0.123333333	18.64333333	-24.304156	-48.652859
16	5	1.33	86.66666667	0	14.33333333	4	60	21.66666667	0	0.188888889	7.111111111	18.67	7.293333333	0.099333333	1.333333333	8.22	90.66666667	0	0.143333333	16.27333333	-24.304561	-48.663315
17	1	2.45	66.66666667	0	6.666666667	11.66666667	63.33333333	18.33333333	0	0.266666667	14.66666667	18.05	6.96	0.029333333	3.866666667	9.503333333	103.5666667	0	0.103333333	9.5	-24.234182	-48.278454
17	2	1.81	73.33333333	0	26.66666667	13.33333333	50	10	0	0.144444444	6.222222222	18	6.283333333	0.043	9.833333333	7.79	84.83333333	0	0.113333333	12.15333333	-24.237679	-48.292214
17	3	2.35	2.333333333	0	6.666666667	3.333333333	51.66666667	38.33333333	0	0.233333333	9.333333333	18.18333333	6.48	0.034	9.433333333	9.34	102.0333333	0	0.14	9.76	-24.21606427	-48.30383874
17	4	1.823333333	6	0	25	15	60	0	0	0.1	14.11111111	18.66666667	6.523333333	0.043	0	9.026666667	99.56666667	0	0.123333333	11.59333333	-24.21778125	-48.28886062
17	5	1.956666667	86.66666667	0	31.66666667	21.66666667	30	16.66666667	0	0.144444444	14.11111111	18.99666667	6.686666667	0.055	0	9.113333333	101.1666667	0	0.136666667	19.17	-24.196377	-48.288936
18	1	1.933333333	88.33333333	0	6.666666667	6.666666667	23.33333333	33.33333333	30	0.177777778	10.55555556	17.53666667	6.986666667	0.024	1.333333333	9.873333333	106.5333333	0	0.13	10.34333333	-24.270839	-48.477145
18	2	2.3	88.33333333	0	3.333333333	11.66666667	23.33333333	31.66666667	30	0.322222222	15.11111111	17.39333333	6.706666667	0.025333333	0	9.92	106.7333333	0	0.146666667	8.126666667	-24.271782	-48.477546
18	3	2.366666667	88.33333333	0	26.66666667	3	22	36.66666667	11.66666667	0.144444444	20.66666667	18.06	6.98	0.125666667	0	9.37	102.1666667	0.01	0.196666667	26.21333333	-24.315783	-48.488811
18	4	2.183333333	75	0	5	6.666666667	45	26.66666667	16.66666667	0.333333333	14	17.74666667	7.21	0.044	0	10.13	109.7	0	0.22	34.05	-24.29945	-48.47351
18	5	2.3	90	0	16.66666667	6.666666667	26.66666667	3.333333333	46.66666667	0.144444444	8.333333333	19.95	7.586666667	0.350666667	0	8.253333333	93.3	0.02	0.13	27.91	-24.309992	-48.493384
19	1	5.583333333	48.33333333	0	28.33333333	10	13.33333333	25	23.33333333	0.377777778	42.11111111	18.36666667	6.62	0.018	4.533333333	9.726666667	106.6333333	0	0.11	10.3	-24.172213	-47.962062
19	2	6.233333333	66.66666667	0	23.33333333	7.333333333	36	18.33333333	15	0.311111111	27.55555556	18.31666667	6.756666667	0.02	0	9.656666667	105.7666667	0	0.103333333	6.163333333	-24.172931	-47.983056
19	3	3	63.33333333	0	3.333333333	30	20	28.33333333	18.33333333	0.344444444	22.66666667	18.05333333	7.043333333	0.019333333	0.2	10.10333333	110.0666667	0	0.103333333	10.57	-24.164679	-47.981868
19	4	4.766666667	93.33333333	0	2	31.33333333	16.66666667	33.33333333	16.66666667	0.266666667	25.77777778	18.08	6.47	0.018	0	9.39	102.4	0	0.086666667	5.743333333	-24.157844	-47.981712
19	5	4.4	95	0	10	25	13.33333333	35	16.66666667	0.377777778	18.66666667	18.17666667	6.206666667	0.016	0	9.573333333	104.5666667	0	0.14	7.676666667	-24.142081	-47.995154
20	1	2.5	63.33333333	0	5	25	16.66666667	33.33333333	20	0.2	15	19.26	6.956666667	0.047666667	1.133333333	8.553333333	95.46666667	0	0.09	5.596	-24.364	-48.477
20	2	2.6	83.33333333	0	5	15	20	13.33333333	46.66666667	0.366666667	18.22222222	19.39333333	7.493333333	0.052666667	0.9	8.05	90	0	0.16	6.871	-24.376	-48.489
20	3	2.366666667	70	0	13.33333333	13.33333333	15	11.66666667	46.66666667	0.422222222	11.77777778	19.72	7.426666667	0.048	1.5	8.33	93.73333333	0	0.1	5.427	-24.359	-48.469
20	4	3.366666667	90	0	5	15	15	51.66666667	13.33333333	0.355555556	11.22222222	19.47333333	7.423333333	0.03	0.933333333	8.773333333	98.23333333	0	0.21	6.476	-24.352	-48.453
20	5	13	56.66666667	0	5	5	3.333333333	16.66666667	70	0.3	20.66666667	19.45	7.33	0.031	0	8.683333333	97.16666667	0	0.11	4.819	-24.338	-48.437
